"SEQ";"SEQ"
"No";"No"
"Internal ID";"内部ID"
"Unique ID";"ユニークID"
"User ID";"USER_ID"
"Nick name";"ニックネーム"
"Emoticon";"気分"
"Avatar";"アバター"
"Location";"地域"
"Age";"年代"
"Created at";"登録日時"
"Updated at";"更新日時"
"Last access";"最終ログイン"
"State";"ステータス"
"Evaluation";"評価"
"Price";"購入金額"
"Point";"保有ポイント"
"Delete";"削除"
"Avatar Image";"アバター画像"
"Sex";"性別"
"Public/Private";"公開/非公開"
"Emoticon Image";"キブン画像"
"Dice";"サイコロの目"
"Content";"内容"
"Item Type";"アイテム種別"
"Item Name";"アイテム名"
"Item Image";"アイテム画像"
"Group Name";"グループ名"
"Reflect";"アプリケーション反映"
"Action";"対象機能"
"Event";"発生時期"
"Point Provide";"付与ポイント"
"Register";"登録"
"Login";"ログイン"
"Finish Register";"登録完了時"
"Login successfully";"ログイン成功時"
"Gift Category Name";"ギフトカテゴリ名"
"Back to gift category";"カテゴリ一覧に戻る"
"Gift Name";"タイトル"
"Gift Image";"ギフト画像"
"Stamp Name";"タイトル"
"Stamp name";"タイトル"
"Stamp Description";"説明"
"Stamp small image";"小さな画像"
"Stamp large image";"大きな画像"
"Stamp icon";"アイコン"
"Stamp zip";"ジッパー"
"Stamp Image";"スタンプ画像"
"Type";"種別"
"Roulette Name";"表示名"
"Probability";"確率"
"Item";"アイテム"
"Gift";"ギフト"
"Point";"ポイント"
"None";"はずれ"
"Provide Item";"アイテム種別"
"Provide Gift";"ギフトカテゴリ"
"Date";"日付"
"Time";"時間帯"
"Total Startup Time";"起動数"
"Unique Startup Time";"ユニーク起動数"
"Sender";"送信者"
"Receiver";"受信者"
"Group";"グループ名"
"State";"ステータス"
"Avatar";"アバター"
"Evaluation";"ステータス"
"Total";"件数"
"Image";"画像"
"User report";"通報者ユーザ"
"Target";"ターゲットユーザ"
"Reply";"返信内容"
"Response";"返信内容"
"Registration date";"登録日"
"Image Display";"プロフィール画像"
"Pre Send";"送信する前に"
"Male";"男性"
"Female";"女性"
"Word";"禁止語句"
"Register Nickname";"ニックネーム登録"
"Word Not Good";"禁止語句登録"
"Item name";"アイテム名"
"Comment";"説明"
"Image Upload";"アイテム画像"
"Public Date";"公開日時"
"Pre Group";"プレグループ登録"
"Group name";"グループ名"
"Region";" 地域"
"Point Config";"ポイント設定"
"Contents Limit";"コンテンツ制限"
"Gift Detail";"ギフト設定"
"Roulette";"ルーレット設定"
"Stamp";"スタンプ設定"
"Permission";"許可"
"App start log";"起動履歴"
"Message History";"チャット履歴"
"Single Word";"ひとこと管理"
"Report";"通報一覧"
"User Report";"通報一覧"
"Manage Users";"会員管理"
"Settings";"マスタ設定"
"History";"履歴"
"Summary";"集計"
"Manage";"管理"
"Find User";"会員検索"
"Send Message";"発信"
"Send Broadcast Message";"一斉発信"
"back";"バック"
"Logout";"ログアウト"
"User list";"会員検索"
"Modify User";"会員詳細"
"Message list";"発信 (検索)"
"Word-not-good list";"禁止語句登録"
"Nickname list";"ニックネーム登録"
"User-avatar list";"アバター設定"
"User-emoticon list";"キブン設定"
"Item list";"アイテム設定"
"Pregroup list";"プレグループ登録"
"Gift-category list";"ギフト設定"
"Roulette list";"ルーレット設定"
"Stamp list";"スタンプ設定"
"Permission list";"許可"
"App-start-log list";"起動履歴"
"Message-history list";"チャット履歴"
"Summary-register list";"登録集計"
"User-image list";"画像管理"
"Single-word list";"ひとこと管理"
"User-report list";"通報管理 (検索)"
"Message";"メッセージ"
"Active";"アクティブ"
"Block";"ブロック"
"Yes";"はい"
"No";"ノー"
"Male";"男性"
"Female";"女性"
"Point Log";"ポイント履歴"
"Point-log list";"ポイント履歴"
"Increase or Decrease";"増減"
"Detail";"詳細"
"Point Increase or Decrease";"増減ポイント"
"Remaining Points";"残ポイント"
"Remark";"備考"
"Increase";"増"
"Decrease";"減"
"Unknown";"不明"
"Blacklist";"ブラックリスト"
"Black List";"ブラックリスト"
"User use log";"利用履歴"
"User-use-log list";"利用履歴"
"Total Point Log";"ポイント集計"
"Total-point-log list";"ポイント集計"
"Summary-advertisement list";"広告集計"
"Advertisement";"広告集計"
"There are no items.";"該当事項はありません."
"Download count";"DL数"
"Register count";"登録数"
"Page";"紙"
"Web";"Web"
"Ad";"Ad"
"Number";"件数"
"Advertisement Code";"広告コード"
"Media Group";"媒体グループ"
"Very good";"とても良い"
"Good";"良い"
"Normal";"普通"
"Bad";"悪い"
"Very bad";"とても悪い"
"Valuation";"評価"
"Available count";"利用回数"
"Recovery time";"回復時間"
"Recovery amount";"回復値"
"Now init count";"利用回数制限"
"Admin user name";"名前"
"Role name";"管理権限"
"Admin-user list";"ユーザ一覧"
"Admin User";"ユーザ一覧"
"Admin";"アドミニストレータ"
"Role";"権限管理"
"Acl-role list";"権限管理"
"Role ID";"権限"
"Send to user";"送信ユーザ"


"display %1$s items of total %2$s (%3$s pages)";"合計の%2$s件で、%1$s件を表示する。（%3$sページ）"
"Submit";"修　正　す　る"
"Del";"削除"
"Delete";"削除"
"Delete selected";"選択した項目を削除する"
"Click to hide the selected icon";"選択したアイコン画像を非表示にする"
"Login";"ログイン"
"Login ID";"ログインID"
"Password";"パスワード"
"Search";"検　索　す　る"
"search";"検　索　す　る"
"Next page";"次のページ"
"Previous page";"前のページ"


"Internal ID";"内部ID"
"Unique ID";"ユニークID"
"User ID";"ユーザーID"
"Nick name";"名前"
"Emoticon";"気持ち"
"Avatar";"アバター"
"Created at";"登録日時"
"Last access";"最終アクセス日時"
"State";"状態"
"Evaluation";"評価"
"Active";"有効"
"Yes";"有り"
"No";"無し"
"Valuation";"評価"
"Very good";"とても良い"
"Good";"良い"
"Normal";"普通"
"Bad";"悪い"
"Very bad";"とても悪い"




